feedback_id,course_id,professor_id,semester,rating_clarity,rating_workload,rating_interaction,rating_attendance_strictness,rating_assignments,overall_rating,course_organization,comment
0,7,23,2023B,3,7,6,2,9,6,7,
1,63,68,2023A,7,1,4,3,3,6,8,
2,88,75,2024B,4,9,9,8,3,5,5,
3,4,44,2024B,3,4,3,5,10,6,9,
4,101,55,2023B,3,8,6,1,3,4,3,
5,39,77,2023B,9,9,10,9,2,7,6,
6,113,42,2023B,5,3,2,7,10,5,2,
7,46,62,2023A,5,8,9,7,8,7,6,
8,84,17,2024B,2,6,4,4,2,2,2,
9,12,51,2023B,3,2,5,7,10,5,3,
10,5,22,2024B,6,6,6,3,4,6,8,
11,69,22,2024A,4,5,9,3,2,5,5,
12,51,14,2024B,10,1,10,7,4,6,2,
13,59,35,2023A,10,5,2,3,5,5,2,
14,98,51,2024A,3,9,9,3,6,6,7,
15,58,7,2025A,10,1,2,6,6,6,7,
16,11,51,2025A,10,2,3,10,3,6,6,
17,11,65,2023A,4,5,4,3,5,4,4,
18,87,51,2024A,5,8,6,8,5,5,3,
19,98,44,2023B,3,7,8,7,4,5,5,
20,34,74,2024A,3,9,3,7,5,4,6,
21,106,6,2023B,7,1,9,4,10,9,9,
22,83,67,2023A,7,6,5,1,3,5,6,
23,57,61,2023B,6,7,4,4,3,4,2,
24,108,8,2023A,6,6,9,9,8,7,6,
25,80,54,2024B,7,8,2,5,10,6,3,
26,113,46,2023B,5,3,10,1,10,7,3,
27,65,52,2025A,10,10,4,1,7,6,5,
28,44,36,2024B,2,10,7,5,10,6,3,
29,52,35,2023B,2,4,3,2,6,4,6,
30,17,22,2024B,5,4,9,8,10,8,6,
31,105,19,2024A,5,2,10,7,6,6,2,
32,54,12,2024A,6,10,9,10,8,7,4,
33,100,76,2024B,6,2,6,3,10,6,3,
34,69,10,2025A,4,4,6,1,3,4,5,
35,104,66,2023B,10,2,6,10,4,7,9,
36,108,53,2024A,10,1,2,9,9,8,10,
37,116,43,2023A,8,8,5,1,8,7,8,
38,21,66,2024B,4,5,5,10,10,6,7,
39,118,72,2024A,2,9,8,6,10,6,4,
40,116,18,2023B,9,9,6,9,3,6,5,
41,114,68,2023B,2,7,8,4,3,5,8,
42,88,76,2024B,3,9,4,8,9,6,8,
43,68,54,2024B,4,6,2,6,3,3,2,
44,112,15,2025A,7,2,9,9,2,5,2,
45,24,48,2023A,7,9,4,6,5,6,9,
46,51,46,2023A,6,6,3,9,2,4,3,
47,16,1,2025A,10,10,10,10,4,7,5,
48,69,43,2025A,4,4,4,10,6,5,6,
49,93,54,2024B,7,2,4,9,2,6,9,
50,66,46,2024A,6,9,10,4,5,6,4,
51,117,8,2024B,9,10,7,2,6,6,3,
52,10,66,2025A,4,3,2,5,2,3,3,
